no_mbtree,no_asm,no_cabac,no_scenecut,Aq_strength,Bframes,Qcomp,Qp,Ref,Rc_lookahead,B_bias,Threads,Keyint,Crf,Scenecut,Seek,Ipratio,PSNR-
0,1,0,0,2,3,0.6,51,3,40,0,4,250,23,40,0,1.4,47.116
0,1,0,0,0,3,0.6,23,3,40,-100,4,250,23,40,0,1.4,46.877
0,1,0,0,2,3,0.6,23,3,40,-100,4,250,23,40,0,1.4,46.877
0,1,0,0,0,3,0.6,23,9,40,0,4,250,23,40,0,1.4,47.129
0,1,0,0,2,3,0.6,23,9,40,0,4,250,23,40,0,1.4,47.129
0,1,0,0,1,25,0.6,23,3,250,0,4,250,23,40,0,1.4,47.097
0,1,0,0,1,25,0.6,23,3,1,0,4,250,23,40,0,1.4,46.966
0,1,0,0,1,3,0.6,23,3,250,0,4,250,23,1,0,1.4,47.048
0,1,0,0,1,3,0.6,23,3,1,0,4,250,23,1,0,1.4,45.714
0,1,0,0,1,3,0.6,23,3,250,0,4,250,23,100,0,1.4,47.123
0,1,0,0,1,3,0.6,23,3,1,0,4,250,23,100,0,1.4,45.84
0,1,0,0,1,3,0.6,23,3,250,0,4,1,23,40,0,1.4,45.981
0,1,0,0,1,3,0.6,23,3,1,0,4,1,23,40,0,1.4,45.981
0,1,0,0,1,3,0.6,23,3,250,0,4,1000,23,40,0,1.4,47.119
0,1,0,0,1,3,0.6,23,3,1,0,4,1000,23,40,0,1.4,45.778
0,1,0,0,1,3,0.6,23,3,250,0,4,250,23,40,0,1.4,47.113
0,1,0,0,1,3,0.6,23,3,1,0,4,250,23,40,0,1.4,45.793
0,1,0,0,0,3,1,23,3,40,0,4,250,23,40,0,1.4,48.101
0,1,0,0,0,3,0,23,3,40,0,4,250,23,40,0,1.4,44.475
0,1,0,0,2,3,0,23,3,40,0,4,250,23,40,0,1.4,44.475
0,1,0,0,2,3,1,23,3,40,0,4,250,23,40,0,1.4,48.101
0,1,0,0,1,3,0,23,3,40,0,4,250,23,40,0,0,28.036
0,1,0,0,1,3,1,23,3,40,0,4,250,23,40,0,0,39.489
0,1,0,0,1,3,0,23,3,40,0,4,250,23,40,0,2,44.494
0,1,0,0,1,3,1,23,3,40,0,4,250,23,40,0,2,48.187
0,1,0,0,1,3,0,0,3,40,0,4,250,23,40,0,1.4,44.475
0,1,0,0,1,3,1,0,3,40,0,4,250,23,40,0,1.4,48.101
0,1,0,0,1,3,0,51,3,40,0,4,250,23,40,0,1.4,44.475
0,1,0,0,1,3,1,51,3,40,0,4,250,23,40,0,1.4,48.101
0,1,0,0,1,3,0,23,0,40,0,4,250,23,40,0,1.4,44.457
0,1,0,0,1,3,1,23,0,40,0,4,250,23,40,0,1.4,48.081
0,1,0,0,1,3,0,23,9,40,0,4,250,23,40,0,1.4,44.495
0,1,0,0,1,3,1,23,9,40,0,4,250,23,40,0,1.4,48.11
0,1,0,0,1,3,0,23,3,40,-100,4,250,23,40,0,1.4,44.165
0,1,0,0,1,3,1,23,3,40,-100,4,250,23,40,0,1.4,48.22
0,1,0,0,1,3,0.6,23,3,1,0,4,250,23,40,0,0,32.174
0,1,0,0,1,3,0.6,23,3,250,0,4,250,23,40,0,0,32.23
0,1,0,0,2,3,0.6,23,3,1,0,4,250,23,40,0,1.4,45.793
0,1,0,0,2,3,0.6,23,3,250,0,4,250,23,40,0,1.4,47.113
0,1,0,0,0,3,0.6,23,3,1,0,4,250,23,40,0,1.4,45.793
0,1,0,0,0,3,0.6,23,3,250,0,4,250,23,40,0,1.4,47.113
0,1,0,0,1,3,1,23,3,1,0,4,250,23,40,0,1.4,48.101
0,1,0,0,1,3,1,23,3,250,0,4,250,23,40,0,1.4,48.101
0,1,0,0,1,3,0,23,3,1,0,4,250,23,40,0,1.4,42.037
0,1,0,0,1,3,0,23,3,250,0,4,250,23,40,0,1.4,44.474
0,1,0,0,1,1,0.6,23,3,250,0,4,250,23,40,0,1.4,47.062
0,1,0,0,1,1,0.6,23,3,1,0,4,250,23,40,0,1.4,45.421
0,1,0,0,1,3,0.6,23,3,250,100,4,250,23,40,0,1.4,47.112
0,1,0,0,1,3,0.6,23,3,1,100,4,250,23,40,0,1.4,45.695
0,1,0,0,1,3,0.6,23,3,250,-100,4,250,23,40,0,1.4,46.885
0,1,0,0,1,3,0.6,23,3,1,-100,4,250,23,40,0,1.4,46.395
0,1,0,0,1,3,0.6,23,9,250,0,4,250,23,40,0,1.4,47.113
0,1,0,0,1,3,0.6,23,9,1,0,4,250,23,40,0,1.4,45.799
0,1,0,0,1,3,0.6,23,0,250,0,4,250,23,40,0,1.4,47.075
0,1,0,0,1,3,0.6,23,0,1,0,4,250,23,40,0,1.4,45.737
0,1,0,0,1,3,0.6,51,3,250,0,4,250,23,40,0,1.4,47.113
0,1,0,0,1,3,0.6,51,3,1,0,4,250,23,40,0,1.4,45.793
0,1,0,0,1,3,0.6,0,3,250,0,4,250,23,40,0,1.4,47.113
0,1,0,0,1,3,0.6,0,3,1,0,4,250,23,40,0,1.4,45.793
0,1,0,0,1,3,0.6,23,3,250,0,4,250,23,40,0,2,47.164
0,1,0,0,1,3,0.6,23,3,1,0,4,250,23,40,0,2,45.848
0,1,0,0,2,25,0.6,23,3,40,0,4,250,23,40,0,1.4,47.096
0,1,0,0,0,25,0.6,23,3,40,0,4,250,23,40,0,1.4,47.096
0,1,0,0,2,3,0.6,23,3,40,0,4,250,23,1,0,1.4,47.047
0,1,0,0,0,3,0.6,23,3,40,0,4,250,23,1,0,1.4,47.047
0,1,0,0,2,3,0.6,23,3,40,100,4,250,23,40,0,1.4,47.103
0,1,0,0,0,3,0.6,23,3,40,100,4,250,23,40,0,1.4,47.103
0,1,0,0,2,1,0.6,23,3,40,0,4,250,23,40,0,1.4,47.072
0,1,0,0,0,1,0.6,23,3,40,0,4,250,23,40,0,1.4,47.072
0,1,0,0,2,3,0.6,23,3,40,0,4,250,23,100,0,1.4,47.142
0,1,0,0,0,3,0.6,23,3,40,0,4,250,23,100,0,1.4,47.142
0,1,0,0,0,3,0.6,23,3,40,0,4,1,23,40,0,1.4,45.981
0,1,0,0,2,3,0.6,23,3,40,0,4,1,23,40,0,1.4,45.981
0,1,0,0,1,3,0.6,23,3,40,100,4,250,23,1,0,1.4,47.04
0,1,0,0,1,3,0.6,23,3,40,-100,4,250,23,1,0,1.4,46.8
0,1,0,0,1,25,0.6,23,3,40,100,4,250,23,40,0,1.4,46.913
0,1,0,0,1,25,0.6,23,3,40,-100,4,250,23,40,0,1.4,46.877
0,1,0,0,1,1,0.6,23,3,40,100,4,250,23,40,0,1.4,47.053
0,1,0,0,1,1,0.6,23,3,40,-100,4,250,23,40,0,1.4,46.877
0,1,0,0,1,3,0.6,23,9,40,0,4,250,23,40,0,1.4,47.129
0,1,0,0,1,3,0.6,23,0,40,0,4,250,23,40,0,1.4,47.079
0,1,0,0,1,3,0.6,23,9,40,0,4,1000,23,40,0,1.4,47.121
0,1,0,0,1,3,0.6,23,0,40,0,4,1000,23,40,0,1.4,47.072
0,1,0,0,1,3,0.6,23,9,40,0,4,1,23,40,0,1.4,45.981
0,1,0,0,1,3,0.6,23,0,40,0,4,1,23,40,0,1.4,45.981
0,1,0,0,1,3,0.6,23,9,40,0,4,250,23,100,0,1.4,47.149
0,1,0,0,1,3,0.6,23,0,40,0,4,250,23,100,0,1.4,47.097
0,1,0,0,1,3,0.6,23,0,40,0,4,250,23,1,0,1.4,47.001
0,1,0,0,1,3,0.6,23,9,40,0,4,250,23,1,0,1.4,47.066
0,1,0,0,1,25,0.6,23,0,40,0,4,250,23,40,0,1.4,47.066
0,1,0,0,1,25,0.6,23,9,40,0,4,250,23,40,0,1.4,47.117
0,1,0,0,1,1,0.6,23,0,40,0,4,250,23,40,0,1.4,47.029
0,1,0,0,1,1,0.6,23,9,40,0,4,250,23,40,0,1.4,47.084
0,1,0,0,1,3,0.6,23,0,40,100,4,250,23,40,0,1.4,47.054
0,1,0,0,1,3,0.6,23,9,40,100,4,250,23,40,0,1.4,47.123
0,1,0,0,1,3,0.6,23,0,40,-100,4,250,23,40,0,1.4,46.835
0,1,0,0,1,3,0.6,23,9,40,-100,4,250,23,40,0,1.4,46.905
0,1,0,0,1,3,0.6,0,3,40,0,4,250,23,40,0,1.4,47.116
0,1,0,0,1,3,0.6,51,3,40,0,4,250,23,40,0,1.4,47.116
0,1,0,0,1,3,0.6,0,3,40,0,4,1000,23,40,0,1.4,47.106
0,1,0,0,1,3,0.6,51,3,40,0,4,1000,23,40,0,1.4,47.106
0,1,0,0,1,1,0.6,23,3,40,0,4,250,23,100,0,1.4,47.073
0,1,0,0,1,25,0.6,23,3,40,0,4,250,23,100,0,1.4,47.117
0,1,0,0,1,1,0.6,23,3,40,0,4,1,23,40,0,1.4,45.981
0,1,0,0,1,25,0.6,23,3,40,0,4,1,23,40,0,1.4,45.981
0,1,0,0,1,1,0.6,23,3,40,0,4,250,23,1,0,1.4,47.006
0,1,0,0,1,25,0.6,23,3,40,0,4,250,23,1,0,1.4,47.031
0,1,0,0,1,3,0.6,23,3,40,-100,4,1000,23,40,0,1.4,46.878
0,1,0,0,1,3,0.6,23,3,40,100,4,1000,23,40,0,1.4,47.099
0,1,0,0,1,3,0.6,23,3,40,-100,4,250,23,40,0,1.4,46.877
0,1,0,0,1,3,0.6,23,3,40,100,4,250,23,40,0,1.4,47.103
0,1,0,0,1,3,0.6,23,3,40,-100,4,250,23,100,0,1.4,46.881
0,1,0,0,1,3,0.6,23,3,40,100,4,250,23,100,0,1.4,47.127
0,1,0,0,1,3,0.6,23,3,40,-100,4,1,23,40,0,1.4,45.981
0,1,0,0,1,3,0.6,23,3,40,100,4,1,23,40,0,1.4,45.981
0,1,0,0,1,3,0.6,23,3,40,0,4,1,23,40,0,2,45.981
0,1,0,0,1,3,0.6,23,3,40,0,4,1,23,40,0,0,44.997
0,1,0,0,1,3,0.6,23,3,40,0,4,250,23,100,0,2,47.197
0,1,0,0,1,3,0.6,23,3,40,0,4,250,23,100,0,0,33.595
0,1,0,0,1,3,0.6,23,3,40,0,4,250,23,1,0,2,47.058
0,1,0,0,1,3,0.6,23,3,40,0,4,250,23,1,0,0,37.511
0,1,0,0,1,25,0.6,23,3,40,0,4,250,23,40,0,2,47.157
0,1,0,0,1,25,0.6,23,3,40,0,4,250,23,40,0,0,32.047
0,1,0,0,1,3,0.6,51,0,40,0,4,250,23,40,0,1.4,47.079
0,1,0,0,1,3,0.6,0,0,40,0,4,250,23,40,0,1.4,47.079
0,1,0,0,1,3,0.6,23,3,40,0,4,250,23,40,0,2,47.177
0,1,0,0,1,3,0.6,23,3,40,0,4,250,23,40,0,0,32.231
0,1,0,0,1,3,0.6,23,3,40,0,4,1000,23,40,0,2,47.169
0,1,0,0,1,3,0.6,23,3,40,0,4,1000,23,40,0,0,32.764
0,1,0,0,1,1,0.6,0,3,40,0,4,250,23,40,0,1.4,47.072
0,1,0,0,1,1,0.6,51,3,40,0,4,250,23,40,0,1.4,47.072
0,1,0,0,1,3,0.6,0,3,40,100,4,250,23,40,0,1.4,47.103
0,1,0,0,1,3,0.6,51,3,40,100,4,250,23,40,0,1.4,47.103
0,1,0,0,1,3,0.6,0,3,40,-100,4,250,23,40,0,1.4,46.877
0,1,0,0,1,3,0.6,51,3,40,-100,4,250,23,40,0,1.4,46.877
0,1,0,0,1,3,0.6,0,9,40,0,4,250,23,40,0,1.4,47.129
0,1,0,0,1,3,0.6,51,9,40,0,4,250,23,40,0,1.4,47.129
0,1,0,0,1,3,0.6,0,3,40,0,4,1,23,40,0,1.4,45.981
0,1,0,0,1,3,0.6,51,3,40,0,4,1,23,40,0,1.4,45.981
0,1,0,0,1,3,0.6,0,3,40,0,4,250,23,100,0,1.4,47.142
0,1,0,0,1,3,0.6,51,3,40,0,4,250,23,100,0,1.4,47.142
0,1,0,0,1,3,0.6,0,3,40,0,4,250,23,1,0,1.4,47.047
0,1,0,0,1,3,0.6,51,3,40,0,4,250,23,1,0,1.4,47.047
0,1,0,0,1,25,0.6,0,3,40,0,4,250,23,40,0,1.4,47.096
0,1,0,0,1,25,0.6,51,3,40,0,4,250,23,40,0,1.4,47.096
0,1,0,0,2,3,0.6,23,3,40,0,4,1000,23,40,0,1.4,47.106
0,1,0,0,0,3,0.6,23,3,40,0,4,1000,23,40,0,1.4,47.106
0,1,0,0,2,3,0.6,23,3,40,0,4,250,23,40,0,1.4,47.116
0,1,0,0,0,3,0.6,23,3,40,0,4,250,23,40,0,1.4,47.116
0,1,0,0,1,3,0.6,51,3,40,0,4,250,23,40,0,0,32.231
0,1,0,0,1,3,0.6,51,3,40,0,4,250,23,40,0,2,47.177
0,1,0,0,1,3,0.6,23,0,40,0,4,250,23,40,0,0,32.229
0,1,0,0,1,3,0.6,23,0,40,0,4,250,23,40,0,2,47.131
0,1,0,0,1,3,0.6,0,3,40,0,4,250,23,40,0,0,32.231
0,1,0,0,1,3,0.6,0,3,40,0,4,250,23,40,0,2,47.177
0,1,0,0,1,3,0.6,23,3,40,100,4,250,23,40,0,0,32.23
0,1,0,0,1,3,0.6,23,3,40,100,4,250,23,40,0,2,47.1616
0,1,0,0,1,1,0.6,23,3,40,0,4,250,23,40,0,0,32.229
0,1,0,0,1,1,0.6,23,3,40,0,4,250,23,40,0,2,47.123
0,1,0,0,1,3,0.6,23,9,40,0,4,250,23,40,0,0,32.231
0,1,0,0,1,3,0.6,23,9,40,0,4,250,23,40,0,2,47.185
0,1,0,0,1,3,0.6,23,3,40,-100,4,250,23,40,0,0,32.223
0,1,0,0,1,3,0.6,23,3,40,-100,4,250,23,40,0,2,46.933
0,0,0,1,0,3,0.6,23,3,40,0,4,250,23,40,0,2,47.181
0,0,0,1,2,3,0.6,23,3,40,0,4,250,23,40,0,2,47.181
0,0,0,1,0,3,0.6,23,3,40,0,4,250,23,40,0,0,32.242
0,0,0,1,2,3,0.6,23,3,40,0,4,250,23,40,0,0,32.242
0,0,0,1,1,3,1,23,3,40,0,4,250,23,100,0,1.4,48.134
0,0,0,1,1,3,0,23,3,40,0,4,250,23,100,0,1.4,44.451
0,0,0,1,1,3,1,23,3,40,0,4,250,23,1,0,1.4,48.049
0,0,0,1,1,3,0,23,3,40,0,4,250,23,1,0,1.4,44.309
0,0,0,1,1,25,1,23,3,40,0,4,250,23,40,0,1.4,48.097
0,0,0,1,1,25,0,23,3,40,0,4,250,23,40,0,1.4,44.401
0,0,0,1,1,1,1,23,3,40,0,4,250,23,40,0,1.4,48.148
0,0,0,1,1,1,0,23,3,40,0,4,250,23,40,0,1.4,44.421
0,0,0,1,1,3,1,23,3,40,0,4,250,23,40,0,1.4,48.105
0,0,0,1,1,3,0,23,3,40,0,4,250,23,40,0,1.4,44.48
0,0,0,1,1,3,1,23,3,40,0,4,1000,23,40,0,1.4,48.112
0,0,0,1,1,3,0,23,3,40,0,4,1000,23,40,0,1.4,44.473
0,0,0,1,1,3,1,23,3,40,0,4,1,23,40,0,1.4,48.748
0,0,0,1,1,3,0,23,3,40,0,4,1,23,40,0,1.4,41.161
0,1,0,0,1,3,0.6,23,3,40,0,4,1000,23,40,0,1.4,47.106
0,1,0,0,1,3,0.6,23,3,40,0,4,1,23,40,0,1.4,45.981
0,1,0,0,1,3,0.6,23,3,40,0,4,1000,23,100,0,1.4,47.12
0,1,0,0,1,3,0.6,23,3,40,0,4,1000,23,1,0,1.4,47.056
0,1,0,0,1,3,0.6,23,3,40,0,4,250,23,100,0,1.4,47.142
0,1,0,0,1,3,0.6,23,3,40,0,4,250,23,1,0,1.4,47.047
0,1,0,0,1,3,0.6,23,3,40,0,4,1,23,100,0,1.4,45.981
0,1,0,0,1,3,0.6,23,3,40,0,4,1,23,1,0,1.4,45.981
0,1,0,0,1,25,0.6,23,3,40,0,4,1000,23,40,0,1.4,47.089
0,1,0,0,1,1,0.6,23,3,40,0,4,1000,23,40,0,1.4,47.067
0,1,0,0,1,25,0.6,23,3,40,0,4,250,23,40,0,1.4,47.096
0,1,0,0,1,1,0.6,23,3,40,0,4,250,23,40,0,1.4,47.072
0,0,0,1,1,3,0.6,23,3,250,100,4,250,23,40,0,1.4,47.104
0,0,0,1,1,3,0.6,23,3,1,100,4,250,23,40,0,1.4,45.69
0,0,0,1,1,3,0.6,23,3,250,-100,4,250,23,40,0,1.4,46.89
0,0,0,1,1,3,0.6,23,3,1,-100,4,250,23,40,0,1.4,46.392
0,0,0,1,1,25,0.6,23,3,250,0,4,250,23,40,0,1.4,47.095
0,0,0,1,1,25,0.6,23,3,1,0,4,250,23,40,0,1.4,46.965
0,0,0,1,1,1,0.6,23,3,250,0,4,250,23,40,0,1.4,47.055
0,0,0,1,1,1,0.6,23,3,1,0,4,250,23,40,0,1.4,45.41
0,0,0,1,1,3,0.6,51,3,250,0,4,250,23,40,0,1.4,47.107
0,0,0,1,1,3,0.6,51,3,1,0,4,250,23,40,0,1.4,45.793
0,0,0,1,1,3,0.6,0,3,250,0,4,250,23,40,0,1.4,47.107
0,0,0,1,1,3,0.6,0,3,1,0,4,250,23,40,0,1.4,45.793
0,0,0,1,1,3,0.6,23,9,250,0,4,250,23,40,0,1.4,47.117
0,0,0,1,1,3,0.6,23,9,1,0,4,250,23,40,0,1.4,45.801
0,0,0,1,1,3,0.6,23,0,250,0,4,250,23,40,0,1.4,47.074
0,0,0,1,1,3,0.6,23,0,1,0,4,250,23,40,0,1.4,45.74
0,0,0,1,2,3,0.6,23,3,1,0,4,250,23,40,0,1.4,45.793
0,0,0,1,2,3,0.6,23,3,250,0,4,250,23,40,0,1.4,47.107
0,0,0,1,0,3,0.6,23,3,1,0,4,250,23,40,0,1.4,45.793
0,0,0,1,0,3,0.6,23,3,250,0,4,250,23,40,0,1.4,47.107
0,0,0,1,1,3,0.6,23,3,1,0,4,250,23,40,0,2,45.849
0,0,0,1,1,3,0.6,23,3,250,0,4,250,23,40,0,2,47.17
0,0,0,1,1,3,0.6,23,3,1,0,4,250,23,40,0,0,32.186
0,0,0,1,1,3,0.6,23,3,250,0,4,250,23,40,0,0,32.242
0,1,0,0,1,3,0.6,23,3,40,0,4,250,23,40,0,1.4,47.116
0,0,0,1,1,3,1,23,3,1,0,4,250,23,40,0,1.4,48.105
0,0,0,1,1,3,1,23,3,250,0,4,250,23,40,0,1.4,48.105
0,0,0,1,1,3,0,23,3,1,0,4,250,23,40,0,1.4,42.016
0,0,0,1,1,3,0,23,3,250,0,4,250,23,40,0,1.4,44.477
0,0,0,1,1,3,1,23,0,40,0,4,250,23,40,0,1.4,48.083
0,0,0,1,1,3,0,23,0,40,0,4,250,23,40,0,1.4,44.447
0,0,0,1,1,3,1,23,9,40,0,4,250,23,40,0,1.4,48.111
0,0,0,1,1,3,0,23,9,40,0,4,250,23,40,0,1.4,44.5
0,0,0,1,1,3,1,23,3,40,-100,4,250,23,40,0,1.4,48.227
0,0,0,1,1,3,0,23,3,40,-100,4,250,23,40,0,1.4,44.171
0,0,0,1,1,3,1,23,3,40,100,4,250,23,40,0,1.4,48.088
0,0,0,1,1,3,0,23,3,40,100,4,250,23,40,0,1.4,44.466
0,0,0,1,1,3,1,23,3,40,0,4,250,23,40,0,0,39.542
0,0,0,1,1,3,0,23,3,40,0,4,250,23,40,0,0,28.036
0,0,0,1,1,3,1,23,3,40,0,4,250,23,40,0,2,48.188
0,0,0,1,1,3,0,23,3,40,0,4,250,23,40,0,2,44.49
0,0,0,1,1,3,1,0,3,40,0,4,250,23,40,0,1.4,48.105
0,0,0,1,1,3,0,0,3,40,0,4,250,23,40,0,1.4,44.48
0,0,0,1,1,3,1,51,3,40,0,4,250,23,40,0,1.4,48.105
0,0,0,1,1,3,0,51,3,40,0,4,250,23,40,0,1.4,44.48
0,0,0,1,1,3,0.6,23,3,1,0,4,250,23,40,0,1.4,45.793
0,0,0,1,1,3,0.6,23,3,250,0,4,250,23,40,0,1.4,47.107
0,0,0,1,0,3,0,23,3,40,0,4,250,23,40,0,1.4,44.48
0,0,0,1,0,3,1,23,3,40,0,4,250,23,40,0,1.4,48.105
0,0,0,1,2,3,0,23,3,40,0,4,250,23,40,0,1.4,44.48
0,0,0,1,2,3,1,23,3,40,0,4,250,23,40,0,1.4,48.105
0,0,0,1,1,3,0.6,23,3,1,0,4,250,23,1,0,1.4,45.719
0,0,0,1,1,3,0.6,23,3,250,0,4,250,23,1,0,1.4,47.043
0,0,0,1,1,3,0.6,23,3,1,0,4,250,23,100,0,1.4,45.843
0,0,0,1,1,3,0.6,23,3,250,0,4,250,23,100,0,1.4,47.123
0,0,0,1,1,3,0.6,23,3,1,0,4,1,23,40,0,1.4,45.979
0,0,0,1,1,3,0.6,23,3,250,0,4,1,23,40,0,1.4,45.979
0,0,0,1,1,3,0.6,23,3,1,0,4,1000,23,40,0,1.4,45.78
0,0,0,1,1,3,0.6,23,3,250,0,4,1000,23,40,0,1.4,47.109
0,0,0,1,0,3,0.6,51,3,40,0,4,250,23,40,0,1.4,47.119
0,0,0,1,2,3,0.6,51,3,40,0,4,250,23,40,0,1.4,47.119
0,0,0,1,0,3,0.6,0,3,40,0,4,250,23,40,0,1.4,47.119
0,0,0,1,2,3,0.6,0,3,40,0,4,250,23,40,0,1.4,47.119
0,0,0,1,0,3,0.6,23,3,40,100,4,250,23,40,0,1.4,47.105
0,0,0,1,2,3,0.6,23,3,40,100,4,250,23,40,0,1.4,47.105
0,0,0,1,0,3,0.6,23,3,40,-100,4,250,23,40,0,1.4,46.883
0,0,0,1,2,3,0.6,23,3,40,-100,4,250,23,40,0,1.4,46.883
0,0,0,1,0,3,0.6,23,9,40,0,4,250,23,40,0,1.4,47.128
0,0,0,1,2,3,0.6,23,9,40,0,4,250,23,40,0,1.4,47.128
0,0,0,1,0,3,0.6,23,0,40,0,4,250,23,40,0,1.4,47.076
0,0,0,1,2,3,0.6,23,0,40,0,4,250,23,40,0,1.4,47.076
0,0,0,1,1,3,0.6,23,0,40,0,4,250,23,40,0,0,32.24
0,0,0,1,1,3,0.6,23,0,40,0,4,250,23,40,0,2,47.122
0,0,0,1,1,3,0.6,23,9,40,0,4,250,23,40,0,0,32.242
0,0,0,1,1,3,0.6,23,9,40,0,4,250,23,40,0,2,47.188
0,0,0,1,1,3,0.6,0,3,40,0,4,250,23,40,0,0,32.242
0,0,0,1,1,3,0.6,0,3,40,0,4,250,23,40,0,2,47.181
0,0,0,1,1,3,0.6,51,3,40,0,4,250,23,40,0,0,32.242
0,0,0,1,1,3,0.6,51,3,40,0,4,250,23,40,0,2,47.181
0,0,0,1,1,1,0.6,23,3,40,0,4,250,23,40,0,0,32.24
0,0,0,1,1,1,0.6,23,3,40,0,4,250,23,40,0,2,47.126
0,0,0,1,1,25,0.6,23,3,40,0,4,250,23,40,0,0,32.058
0,0,0,1,1,25,0.6,23,3,40,0,4,250,23,40,0,2,47.162
0,0,0,1,1,3,0.6,23,3,40,-100,4,250,23,40,0,0,32.234
0,0,0,1,1,3,0.6,23,3,40,-100,4,250,23,40,0,2,46.938
0,0,0,1,1,3,0.6,23,3,40,100,4,250,23,40,0,0,32.241
0,0,0,1,1,3,0.6,23,3,40,100,4,250,23,40,0,2,47.166
0,0,0,1,2,3,0.6,23,3,40,0,4,250,23,1,0,1.4,47.054
0,0,0,1,0,3,0.6,23,3,40,0,4,250,23,1,0,1.4,47.054
0,0,0,1,2,3,0.6,23,3,40,0,4,250,23,100,0,1.4,47.142
0,0,0,1,0,3,0.6,23,3,40,0,4,250,23,100,0,1.4,47.142
0,0,0,1,2,1,0.6,23,3,40,0,4,250,23,40,0,1.4,47.067
0,0,0,1,0,1,0.6,23,3,40,0,4,250,23,40,0,1.4,47.067
0,0,0,1,2,25,0.6,23,3,40,0,4,250,23,40,0,1.4,47.097
0,0,0,1,0,25,0.6,23,3,40,0,4,250,23,40,0,1.4,47.097
0,0,0,1,2,3,0.6,23,3,40,0,4,250,23,40,0,1.4,47.119
0,0,0,1,0,3,0.6,23,3,40,0,4,250,23,40,0,1.4,47.119
0,0,0,1,2,3,0.6,23,3,40,0,4,1,23,40,0,1.4,45.979
0,0,0,1,0,3,0.6,23,3,40,0,4,1,23,40,0,1.4,45.979
0,0,0,1,2,3,0.6,23,3,40,0,4,1000,23,40,0,1.4,47.114
0,0,0,1,0,3,0.6,23,3,40,0,4,1000,23,40,0,1.4,47.114
0,0,0,1,1,3,0.6,0,3,40,100,4,250,23,40,0,1.4,47.105
0,0,0,1,1,3,0.6,51,3,40,100,4,250,23,40,0,1.4,47.105
0,0,0,1,1,3,0.6,0,3,40,-100,4,250,23,40,0,1.4,46.883
0,0,0,1,1,3,0.6,51,3,40,-100,4,250,23,40,0,1.4,46.883
0,0,0,1,1,25,0.6,0,3,40,0,4,250,23,40,0,1.4,47.097
0,0,0,1,1,25,0.6,51,3,40,0,4,250,23,40,0,1.4,47.097
0,0,0,1,1,1,0.6,0,3,40,0,4,250,23,40,0,1.4,47.067
0,0,0,1,1,1,0.6,51,3,40,0,4,250,23,40,0,1.4,47.067
0,0,0,1,1,3,0.6,0,3,40,0,4,250,23,100,0,1.4,47.142
0,0,0,1,1,3,0.6,51,3,40,0,4,250,23,100,0,1.4,47.142
0,0,0,1,1,3,0.6,0,3,40,0,4,250,23,1,0,1.4,47.054
