label,fault,system,error,use,model,toler,method,detect,network,test,softwar,propos,base,defect,algorithm,control,paper,data,correct,diagnosi,techniqu,design,approach,result,present,applic,perform,analysi,simul,power,time,process,develop,circuit,effect,code,gener,distribut,comput,new,measur,implement,failur,current,reliabl,bas,scheme,oper,high,improv,Title
0,0,7,2,3,0,0,0,1,1,0,1,0,1,3,2,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Inspection system for detecting defects in a transistor using Artificial neural network (ANN)
0,0,2,4,2,0,0,0,4,0,0,0,0,1,0,1,0,1,6,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,Masquerade detection augmented with error analysis
0,0,1,0,1,0,0,2,5,0,0,0,0,3,8,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,0,0,1,0,0,2,0,0,1,0,0,0,0,0,1,1,0,Fabric defect detection based on open source computer vision library OpenCV
0,0,3,3,6,0,0,5,3,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,Detection and Correction of Lip-Sync Errors Using Audio and Video Fingerprints
0,6,1,0,1,0,0,3,1,0,5,0,1,2,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A Method for Optimum Test Point Selection and Fault Diagnosis Strategy for BIT of Avionic System
0,2,0,0,0,0,0,4,0,0,4,0,1,0,0,0,0,2,2,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,1,0,0,2,0,0,0,0,0,Crosstalk-Insensitive Method for Testing of Delay Faults in Interconnects Between Cores in SoCs
0,0,0,6,4,0,0,3,0,0,0,0,2,0,0,0,0,1,4,6,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Error correction using data hiding technique for JPEG2000 images
0,0,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Zero frequency error locking of widely tunable lasers in high spectral efficiency systems using optical injection phase lock loops
0,5,3,0,3,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,1,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,A practical methodology for experimental fault injection to test complex network-based systems
0,0,0,0,3,1,0,3,0,0,0,0,4,0,5,0,0,1,0,0,0,0,2,0,2,0,0,0,3,0,0,0,0,0,4,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,A design of the low-pass filter using the novel microstrip defected ground structure
0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,Inverted defected ground structure for microstrip line filters reducing packaging complexity
0,0,0,2,3,0,0,2,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Error concealment using affine transform for H.263 coded video transmissions
0,0,0,2,1,0,0,1,0,0,0,1,2,2,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,A fast and efficient H.264 error concealment technique based on coding modes
0,6,0,0,2,3,0,1,0,0,4,0,1,2,7,0,0,0,1,0,0,0,0,0,1,0,0,0,2,3,0,0,0,1,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,Hierarchical defect-oriented fault simulation for digital circuits
0,5,1,0,0,0,4,0,0,0,0,1,0,2,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,New fault tolerant robotic central controller for space robot system based on ARM processor
0,5,0,0,0,0,1,6,0,2,1,0,2,2,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,1,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Class-based neural network method for fault location of large-scale analogue circuits
0,5,0,0,2,0,1,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,A new approach to fault-tolerant wormhole routing for mesh-connected parallel computers
0,3,10,0,2,0,0,3,0,0,0,0,2,2,0,1,0,0,0,0,0,1,0,0,0,0,1,0,2,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,Unreliability tracing technique for system components based on the fault tree analysis
0,7,2,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,2,0,0,0,0,0,0,The discovery of the fault location in NIGS
0,5,0,0,0,0,0,1,0,0,0,0,0,3,0,1,0,2,0,0,3,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,Bearing Fault Diagnosis Based on Feature Weighted FCM Cluster Analysis
0,13,6,0,2,8,0,4,0,1,0,0,2,4,0,1,1,1,0,0,1,0,0,0,1,1,0,0,4,5,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Development of simulation model based on directed fault propagation graph
0,0,3,0,1,0,0,0,0,0,1,0,0,2,4,3,0,0,0,0,0,0,0,0,1,1,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,Application of genetic algorithms to pattern recognition of defects in GIS
0,8,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,FADES: a fault emulation tool for fast dependability assessment
0,0,1,0,1,0,0,1,2,0,0,0,0,2,0,0,2,1,0,2,0,0,1,0,2,1,0,0,0,1,3,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,1,0,1,0,Single-stage Flyback converter for led driver with inductor voltage detection power factor correction
0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,Control chart of mean with low alpha error probability
0,3,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,4,0,0,2,3,0,0,0,0,1,0,0,0,0,0,0,1,0,7,0,0,4,1,0,0,Superconducting Fault Current Limiter Application for Reduction of the Transformer Inrush Current: A Decision Scheme of the Optimal Insertion Resistance
0,5,5,3,1,0,0,1,4,0,0,1,0,0,0,0,0,0,0,0,4,0,0,4,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Detection and Diagnosis of Recurrent Faults in Software Systems by Invariant Analysis
0,0,0,11,1,0,0,0,4,0,1,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,1,0,1,0,5,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,A Cost-Effective Dependable Microcontroller Architecture with Instruction-Level Rollback for Soft Error Recovery
0,0,0,0,2,0,0,1,0,2,0,0,1,0,0,0,0,0,5,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,1,0,CRINet: A secure and fault-tolerant data collection scheme using 3-way forwarding and group key management in wireless sensor networks
0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,3,0,0,0,0,1,0,1,0,0,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,In-line wafer inspection data warehouse for automated defect limited yield analysis
0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,Design of circular split-ring type Defected Ground Structure as elliptic filters
0,0,0,2,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Depth Image-Based Temporal Error Concealment for 3-D Video Transmission
0,6,8,0,2,1,0,0,0,1,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,Operating MicroGrid Energy Storage Control during Network Faults
0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,5,0,2,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,A cost-driven lithographic correction methodology based on off-the-shelf sizing tools
0,3,3,0,1,2,3,0,0,3,0,1,0,2,0,0,0,1,1,0,0,0,1,0,1,3,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,1,CPN model for a Hierarchical Fault Tolerance Protocol for Mobile Agent systems
0,5,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Torsional oscillations of the turbine-generator due to network faults
0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,6,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A model-based approach for fault-tolerant control
0,7,2,0,4,4,4,0,1,0,0,0,1,1,0,0,8,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,3,2,0,1,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,Sensor fault tolerant generic model control for nonlinear systems
0,5,8,0,1,1,0,1,0,0,0,0,0,4,0,0,0,3,0,0,7,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,Research of Remote Fault Diagnosis System Based on Multi-Agent
0,9,0,0,0,0,0,2,0,5,4,0,1,2,0,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,A Multiple Faults Test Generation Algorithm Based on Neural Networks and Chaotic Searching for Digital Circuits
0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,1,0,0,0,0,0,0,0,1,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Multiwave interaction analysis of a coaxial Bragg structure with a localized defect introduced in sinusoidal corrugations
0,5,0,2,2,0,3,0,0,0,2,3,3,1,0,2,0,1,0,0,1,2,0,2,0,0,0,0,3,2,0,0,0,1,2,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,An algorithm for dividing ambiguity sets for analog fault dictionary
0,1,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0,4,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5,0,0,0,0,0,0,A Zero Module Current Obtaining Approach Based on Magnetic Induction for Single Phase Grounding Fault
0,2,0,0,0,3,0,0,0,0,0,0,3,2,0,0,0,1,0,0,0,2,0,4,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,Parametric fault trees with dynamic gates and repair boxes
0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,1,1,2,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,2,1,0,0,Fault-accommodating thruster force allocation of an AUV considering thruster redundancy and saturation
0,0,0,0,2,0,0,0,0,0,0,1,3,0,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,Design and realization of a new compact branch-line coupler using defected ground structure
0,0,0,13,0,0,0,3,1,0,0,1,2,0,0,3,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Decoding of the (24 12 8) extended golay code up to four errors
0,0,1,5,2,0,0,0,2,1,3,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Determining the Amount of Audio-Video Synchronization Errors Perceptible to the Average End-User
0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,6,0,0,0,1,3,0,Design and development of a 15 kV 20 kA HTS fault current limiter
0,4,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,4,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,Automated fault data collection analysis and reporting
0,2,4,0,4,2,1,1,1,0,0,3,1,1,1,0,2,0,0,1,0,0,1,4,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,Validation of guidance control software requirements specification for reliability and fault-tolerance
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,3,0,0,0,0,1,0,1,0,2,0,0,0,2,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Analysis of Hyperion data with the FLAASH atmospheric correction algorithm
0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Comparison of the main types of fault-tolerant electrical drives used in vehicle applications
0,4,2,0,0,0,0,0,2,0,0,0,0,1,0,2,0,1,0,1,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,1,0,A new protection algorithm for EHV transmission line based on singularity detection of fault transient voltage
0,0,0,4,2,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,Position and speed sensorless control for PMSM drive using direct position error estimation
0,3,0,0,0,0,0,1,0,0,4,0,2,2,0,1,0,0,0,0,2,1,0,0,0,1,1,0,2,0,0,0,0,1,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,A Method for the Automatic Selection of Test Frequencies in Analog Fault Diagnosis
0,3,2,0,2,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,A Gibbs-sampler approach to estimate the number of faults in a system using capture-recapture sampling [software reliability]
0,6,0,0,1,0,0,1,0,0,1,0,0,0,0,3,0,1,1,0,0,0,0,0,2,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,2,0,0,3,0,0,0,0,0,2,Improved unsynchronized two-end algorithm for locating faults in power transmission lines
0,3,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,1,0,Triggered vacuum switch-based fault current limiter
0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fault Tolerant Non-trivial Repeating Pattern Discovering for Music Data
0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Semiconductor production schedule check and correction technique through mobile agent system
0,3,0,0,4,1,0,1,0,0,0,0,0,1,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,A new algorithm of improving fault location based on SVM
0,10,8,0,2,1,0,0,1,0,1,1,1,1,0,0,0,2,0,0,5,0,0,0,2,0,0,1,2,0,0,0,1,0,0,1,0,0,0,2,0,0,1,1,0,0,0,0,1,0,0,Modelling and analysing fault propagation in safety-related systems
0,7,0,0,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,Gate level fault diagnosis in scan-based BIST
0,1,2,0,1,0,0,3,2,0,1,1,0,3,0,1,8,2,0,0,0,0,0,0,1,4,0,0,0,1,3,0,1,0,0,0,0,10,0,0,0,1,1,1,0,0,0,0,4,0,0,Grid Connection to Stand Alone Transitions of Slip Ring Induction Generator During Grid Faults
0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,6,0,0,0,1,0,0,0,7,0,2,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,Jump Simulation: A Technique for Fast and Precise Scan Chain Fault Diagnosis
0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,1,1,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Diagnosis of single stuck-at faults and multiple timing faults in scan chains
0,5,0,0,3,0,0,4,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Armature Fault Diagnostics of a Commutator Motor using the Frequency Response Analysis
0,2,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,3,1,0,1,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,Calculation of transverse voltages of communication lines induced by the fault current of power system
0,2,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Coverage method for FPGA fault logic blocks by spares
0,2,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,Design and Construction of a Magnetic Fault Current Limiter
0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,1,5,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Geometric and shading correction for images of printed materials using boundary
0,0,0,0,3,3,0,2,0,0,0,0,1,0,2,0,0,1,0,0,0,0,2,0,1,0,0,0,0,3,0,0,0,0,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,Optimized design of a low-pass filter using defected ground structures
0,4,5,0,1,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Automobile engine fault diagnosis using neural network
0,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,2,0,3,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,A comparative analysis of network dependability fault-tolerance reliability security and survivability
0,0,2,1,2,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Packet-level iterative errors-and-erasures decoding for SFH spread-spectrum communications with Reed-Solomon codes and differential encoding
0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,Decorrelating compensation scheme for coefficient errors of a filter bank parallel A/D converter
0,5,0,2,1,0,0,1,2,0,0,0,1,1,0,1,0,0,1,0,0,2,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,"Pattern recognition-a technique for induction machines rotor fault detection ""eccentricity and broken bar fault"""
0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Response space construction for neural error correction
0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,1,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,2,0,1,NoC Interface for fault-tolerant Message-Passing communication on Multiprocessor SoC platform
0,15,1,0,3,5,0,0,1,0,0,2,0,0,1,0,1,0,5,1,0,1,0,1,0,0,1,0,0,0,0,0,0,3,0,2,0,0,0,0,1,0,1,5,1,0,0,0,0,0,0,Extended fault modeling used in the space shuttle PRA
0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,2,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Teaching the Art of Fault Diagnosis in Electronics by a Virtual Learning Environment
0,4,1,0,0,1,0,3,0,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,1,0,0,0,2,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wavelet neural network method for fault diagnosis of push-pull circuits
0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Do stack traces help developers fix bugs?
0,0,0,3,1,0,0,0,1,0,0,0,2,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,An Edge-Adaptive Block Matching Algorithm for Error Concealment
0,2,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,1,1,0,0,2,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,A fault-tolerant protocol for energy-efficient permutation routing in wireless networks
