label,softwar,system,model,fault,test,use,qualiti,perform,data,measur,process,detect,develop,metric,predict,network,design,applic,method,base,reliabl,approach,techniqu,algorithm,estim,paper,analysi,propos,result,servic,evalu,defect,time,control,present,failur,code,studi,improv,error,program,requir,assess,effect,comput,gener,provid,architectur,bas,project,Title
0,3,2,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,2,0,0,1,0,0,1,0,1,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,3,Controlling the Software Life CycleâThe Project Management Task
0,3,5,1,6,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,1,0,2,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,An Optimal Approach to Fault Tolerant Software Systems Design
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A survey and methodology of reconfigurable multi-module systems
0,1,0,0,0,0,0,3,3,1,0,1,1,1,0,0,2,0,0,0,0,0,0,0,4,0,1,0,0,1,2,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Algorithms for Monitoring Changes in Quality of Communication Links
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,Self-Testing Computers
0,3,0,0,0,0,1,1,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,Measuring Improvements in Program Clarity
0,3,0,0,2,0,3,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,4,0,0,1,3,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0,2,0,0,0,0,0,0,Software Failure Modes and Effects Analysis
0,1,4,0,6,6,2,0,6,1,0,0,1,4,0,0,1,0,0,0,0,0,0,2,4,2,1,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,3,1,0,2,2,0,0,0,Technical Control of the Digital Transmission Facilities of the Defense Communications System
0,1,7,0,0,0,1,0,1,1,0,0,4,1,0,0,0,0,0,3,2,1,0,0,1,0,0,0,0,1,0,0,4,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,A highly reliable mask inspection system
0,6,0,0,0,0,0,2,0,0,9,1,0,1,0,0,0,1,2,0,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,1,1,0,0,0,0,0,Some Stability Measures for Software Maintenance
0,7,6,0,0,3,3,4,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5,4,0,0,1,0,3,0,0,4,Experience from Quality Assurance in Nuclear Power Plant Protection System Software Validation
0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,Capture-Recapture Sampling for Estimating Software Error Content
0,7,1,0,0,4,1,1,1,1,0,1,0,6,0,0,0,1,1,0,1,2,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,Application of a Methodology for the Development and Validation of Reliable Process Control Software
0,0,1,1,3,0,1,0,0,0,1,0,0,2,0,0,0,0,1,0,3,0,0,4,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,Application of Kalman Filtering in Computer Relaying
0,1,4,0,1,1,3,0,0,0,2,0,2,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,The Energy Saver/Doubler Quench Protection Monitor System
0,1,4,1,2,0,2,0,0,1,0,1,0,2,0,0,0,3,2,1,0,3,1,2,0,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,7,1,0,0,0,0,Fault-tolerant computer systems
0,1,0,5,6,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,5,0,0,0,0,0,0,1,2,0,0,0,1,0,0,3,0,0,0,1,3,0,0,1,0,0,0,0,0,0,Stochastic Reliability-Growth: A Model for Fault-Removal in Computer-Programs and Hardware-Designs
0,0,2,0,0,0,1,0,0,2,1,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,Microcomputers: Microprocessors and the M.D.: A new breed of smart medical equipment can diagnose monitor analyze and rehabilitate
0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,An autocorrelation pitch detector with error correction
0,1,8,0,1,0,3,0,2,0,0,1,1,2,0,0,0,1,2,0,1,4,0,1,0,0,1,0,0,1,2,0,0,0,9,2,1,0,0,0,0,0,4,0,0,5,0,0,2,0,0,A fault-tolerant/fail-safe command and control system for automated vehicles
0,0,0,0,0,0,2,0,1,2,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,Databases and Units of Measure
0,2,5,0,1,2,2,0,2,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A Remote Data Acquisition and Display System
0,1,4,1,1,0,0,0,1,0,0,1,1,2,0,0,0,4,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,System Development and Technology Aspects of the IBM 3081 Processor Complex
0,0,7,3,0,0,1,0,2,0,1,0,0,0,0,0,0,0,1,1,0,5,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,8,0,0,4,0,0,Architecture Optimization of Aerospace Computing Systems
0,4,0,0,0,1,0,1,0,3,1,0,0,3,7,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,5,Metric Analysis and Data Validation Across Fortran Projects
0,1,4,0,0,0,0,1,2,1,2,1,5,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Low Contrast Sensitivity of Radiologic CT Nuclear Medicine and Ultrasound Medical Imaging Systems
0,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,0,4,0,0,0,0,0,0,Effect of the Software Coincidence Timing Window in Time-of-Flight Assisted Positron Emission Tomography
0,1,3,1,0,0,0,1,1,2,1,0,0,0,0,1,3,1,1,0,0,0,0,0,5,0,1,0,0,0,0,1,0,4,2,1,0,0,0,0,0,0,1,0,1,0,1,2,0,0,0,Distributed Circuit Control for the DCS
0,0,8,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,1,2,0,0,0,1,0,1,0,0,5,1,0,1,0,0,1,1,0,2,1,0,0,0,0,Interval Reliability for Initiating and Enabling Events
0,7,4,2,0,3,0,0,2,0,0,0,0,1,0,0,0,2,3,1,0,3,0,0,0,0,3,0,0,0,0,0,1,0,1,1,0,0,0,0,0,2,1,1,1,0,0,2,0,0,0,Software Performance Modeling and Management
0,1,0,0,0,1,3,4,0,0,4,1,0,0,0,0,0,0,1,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Multivariate Sampling Plans in Quality Control: A Numerical Example
0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,On selectivity properties of discrete-time linear networks
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Design and Evaluation of a Fault-Tolerant Multiprocessor Using Hardware Recovery Blocks
0,0,5,8,0,0,1,0,6,0,0,2,0,1,0,0,0,0,0,2,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,A Performability Solution Method for Degradable Nonrepairable Systems
0,2,7,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,2,0,1,0,0,1,0,1,0,6,2,0,0,0,0,0,0,0,0,0,A Study of Software Failures and Recovery in the MVS Operating System
0,0,1,0,2,0,1,0,2,0,0,0,0,0,0,0,1,1,1,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,3,0,0,Fault Tolerance in Binary Tree Architectures
0,1,1,0,0,0,0,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Dual Gated Nuclear Cardiac Images
0,1,2,0,0,0,1,0,0,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,Static Data Flow Analysis of PL/I Programs with the PROBE System
0,0,0,2,0,0,2,0,1,0,0,8,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,Evaluation of Error Recovery Blocks Used for Cooperating Processes
0,3,2,0,0,3,1,1,0,1,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,A Software Package for Statistical Quality Control of Instrumentation
0,0,3,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,Performance/Reliability Measures for Fault-Tolerant Computing Systems
0,5,1,1,0,0,1,2,0,2,0,2,0,3,3,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4,Software and development process quality metrics
0,1,0,2,0,1,5,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,Validation of finite element analysis of the magnetic fields around fine cracks
0,2,2,1,0,1,2,2,0,2,1,1,0,0,0,2,0,0,0,6,1,0,0,0,0,3,1,0,3,0,0,0,0,2,3,0,8,0,1,0,0,0,1,0,0,0,0,0,0,0,0,A Statistical Method for Software Quality Control
0,3,0,2,0,1,0,0,0,0,0,0,1,0,0,3,0,0,0,0,1,2,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,2,0,0,0,1,0,0,1,0,0,0,Bayesian Extensions to a Basic Model of Software Reliability
0,3,5,0,3,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,1,2,0,0,1,1,0,2,0,1,0,0,2,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,2,Software Fault Tolerance: An Evaluation
0,8,0,0,0,0,2,1,0,0,2,1,0,1,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,An Experimental Study of Software Metrics for Real-Time Software
0,3,0,0,0,3,2,0,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,2,0,2,2,1,1,0,0,0,0,0,0,0,Identifying Error-Prone SoftwareâAn Empirical Study
0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,A Technique for Estimating Performance of Fault-Tolerant Programs
0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,Assessment of Software Reliability Models
0,1,0,0,0,4,5,1,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,3,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,Performance of a real time low rate voice codec
0,1,7,1,0,1,1,1,6,0,0,1,0,1,0,0,0,0,3,0,0,1,3,0,0,0,2,1,1,1,0,9,0,0,0,2,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,Evaluation of natural language processing systems: Issues and approaches
0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,Robust Storage Structures for Crash Recovery
0,0,1,0,0,0,1,0,0,0,0,2,1,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Development of a High-Performance Stamped Character Reader
0,0,1,1,3,0,1,0,0,0,0,1,0,1,0,1,0,2,2,3,1,0,2,0,0,0,3,1,0,0,0,0,0,2,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,Probabilistic Short-Circuit Uprating of Station Strain Bus System - Mechanical Aspects
0,0,1,1,0,1,0,0,1,1,1,0,0,2,0,0,2,2,1,1,1,0,1,0,2,3,0,0,0,2,0,0,0,0,2,1,0,0,2,0,0,1,1,0,0,0,0,0,0,0,1,State Estimation Simulation for the Design of an Optimal On-Line Solution
0,1,9,5,1,0,0,0,0,0,4,4,0,0,0,1,0,1,1,0,1,8,2,0,0,0,1,0,0,1,0,0,0,4,0,1,12,0,0,0,4,1,0,0,1,0,0,0,0,0,0,Effect of System Processes on Error Repetition: A Probabilistic and Measurement Approach
0,1,0,0,1,0,4,0,1,1,1,1,0,1,0,0,11,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,4,1,2,0,1,0,0,0,1,1,1,0,0,Design of a Testbed for Studying Rapidly Reconfigurable Tactical Communication Networks
0,2,0,0,0,0,1,1,0,2,2,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,Field monitoring of software maintenance
0,3,2,1,4,0,2,0,0,1,0,1,1,0,0,0,0,1,2,0,0,2,0,0,0,1,0,0,0,2,0,0,0,0,1,0,2,0,0,0,2,3,1,0,0,1,0,0,0,0,0,Experiments in software reliability: Life-critical applications
0,0,0,0,1,4,1,0,0,4,0,0,1,0,0,0,0,0,0,1,1,0,2,0,0,0,0,5,0,4,0,0,0,0,0,2,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,A functional approach to program testing and analysis
0,1,0,9,0,0,3,1,1,2,0,2,0,0,0,1,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,Modeling very large array phase data by the Box-Jenkins method
0,1,8,1,6,0,2,0,1,0,0,0,2,0,0,0,0,2,0,0,1,1,2,0,0,0,1,0,0,0,0,1,0,0,1,1,3,0,0,0,0,0,0,0,0,1,0,1,1,0,0,Knowledge-based management of failures in autonomous systems
0,3,7,0,3,0,1,0,1,2,0,6,0,3,0,0,0,1,1,0,1,0,0,0,3,1,1,2,0,1,0,0,0,1,4,0,1,0,0,0,0,1,5,1,0,2,0,0,5,0,0,A multiprocessor system for AUV applications
0,1,0,4,0,0,7,0,0,5,1,0,0,2,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,3,0,0,0,The Circulation and Water Level Forecast Atlas: A New Product in Development at NOS
0,0,1,2,0,0,0,0,1,0,1,2,0,0,0,0,0,0,2,0,1,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,Applications of error intensity measures to bearing estimation
0,0,4,0,4,0,1,0,4,0,5,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,1,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,A passenger vehicle onboard computer system for engine fault diagnosis performance measurement and control
0,5,0,0,13,13,2,0,0,0,0,0,12,0,0,0,0,1,0,2,0,0,0,4,0,0,0,1,0,1,0,0,0,0,1,0,0,4,3,0,0,1,0,0,2,0,0,0,0,0,0,Comparing the Effectiveness of Software Testing Strategies
0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,3,0,0,0,0,1,3,0,1,0,0,0,0,0,0,2,0,0,0,0,0,Queueing Analysis of Fault-Tolerant Computer Systems
0,2,0,0,0,7,0,2,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Test Data Selection and Quality Estimation Based on the Concept of Essential Branches for Path Testing
0,1,2,1,3,1,3,0,0,0,1,4,2,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Process fault detection using constraint suspension
0,3,1,5,0,0,1,7,0,0,2,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Towards a constructive quality model. Part 1: Software quality modelling measurement and prediction
0,1,1,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,An expert system for high voltage discharge tests
0,5,6,0,0,1,0,0,0,5,3,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,2,0,1,0,1,0,0,0,1,0,1,2,0,3,0,0,0,1,0,1,0,0,0,0,Error localization during software maintenance: generating hierarchical system descriptions from the source code alone
0,8,0,3,0,0,2,2,0,3,2,4,0,2,0,0,0,0,0,0,0,0,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4,Production process modeling of software maintenance productivity
0,3,1,1,0,2,2,1,0,0,0,0,0,1,1,0,0,0,1,0,3,0,1,1,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,Risk Assessment Methodology for Software Supportability (RAMSS)
0,7,3,2,0,0,2,4,0,0,5,0,0,2,8,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,A model based on software quality factors which predicts maintainability
0,4,1,3,0,0,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,A classification model of software comprehension
0,0,3,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,1,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Analysis of Reed-Solomon coded frequency-hopping systems with non ideal interleaving in worst case partial band jamming
0,1,0,0,0,1,3,1,0,6,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,Quality control of antenna calibration and site-attenuation data from open area test sites
0,0,2,0,2,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,Sequoia: a fault-tolerant tightly coupled multiprocessor for transaction processing
0,5,0,6,0,2,2,1,1,0,1,0,0,0,0,2,0,0,2,0,0,5,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,Applications of software reliability measurement to instruments and calculators
0,2,1,0,0,0,2,0,0,1,0,0,0,0,9,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,2,0,0,1,0,0,0,0,0,0,An evaluation of software structure metrics
0,0,0,0,2,4,1,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,Five years experience with a new method of field testing cross and quadrature polarized mho distance relays. II. Three case studies
0,7,1,0,0,2,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Second IEE/BCS Conference: Software Engineering 88 (Conf. Publ. No.290)
0,1,6,0,5,2,0,0,4,0,0,0,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Relevancy in fault detection analysis
0,2,0,1,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,2,0,0,0,Characterizing the software process: a maturity framework
0,0,8,1,1,0,2,0,3,0,1,1,0,0,0,0,0,3,0,0,1,1,1,2,0,0,0,0,0,2,0,2,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Evaluation of system BIST using computational performance measures
0,0,3,0,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hybrid fault diagnosability with unreliable communication links
0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Estimating metrical change in fully connected mobile networks-a least upper bound on the worst case
0,5,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,1,0,0,2,0,0,3,0,0,0,0,1,0,0,0,1,0,1,2,0,0,0,0,0,0,0,1,0,0,2,0,0,0,An experimental investigation of software diversity in a fault-tolerant avionics application
0,0,1,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,0,1,1,0,0,0,1,0,0,0,2,0,2,1,0,1,0,1,3,0,1,0,0,0,A simplified method for RPE coding with improved performance
